code station,code station,code station,Taille du support (nb pixels),code station + n° de galet,coordonnées point départ galet,coordonnées point départ galet,Aire,Périmètre,Aire de l’enveloppe convexe,Périmètre de l’enveloppe convexe,R (+ grand rayon inscrit),l (axe a),L (axe b),e (élongation : b/a),polyg (nb de côtés),,Compacité,Circularité,Convexity Ps/Pch,Convexity As/Ach,moyK,eK,varK,"Wadell (1,5)","Cailleux (1,5)",Dervin (84),Pg/pe
,,,,,,,As,Ps,Ach,Pch,R,a,b, e = b/a,,,,Ps/(2*racine(As*Pi),Ps/Pch,As/Ach,,,,Rw,,rD,rP
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g50.jpg,(174,522),359,10238.5,393.523,10607.5,381.104,46.4866,144.838,98.2265,0.678183,6,0.830818,1.0971,0.968441,0.965213,6.32393,316.799,276.807,0.625836,48.8206,0.795309,0.944537
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g51.jpg,(725,512),313,8446.5,343.272,8652,344.558,44.7214,119.331,101.439,0.850061,5,0.900763,1.05365,1.00375,0.976248,5.30513,46.8612,18.7169,0.70917,288.739,0.835493,0.965615
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g52.jpg,(844,476),238,5438.5,267.922,5531.5,268.811,37.6431,92.1358,75.6604,0.821184,5,0.952079,1.02486,1.00332,0.983187,5.53144,38.6642,8.06733,0.775279,390.781,0.878154,0.985264
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g53.jpg,(611,430),293,7265,322.6,7529,320.111,42.19,115.849,87.6262,0.756382,6,0.877237,1.06768,0.992286,0.964936,5.74438,170.119,137.121,0.659348,48.1821,0.865579,0.961596
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g54.jpg,(936,423),314,7754.5,346.38,8212.5,326.983,43.4166,112.645,92.3964,0.820241,5,0.812193,1.10961,0.944002,0.944231,7.4107,234.468,179.55,0.666106,93.0367,0.8952,0.9127
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g55.jpg,(1071,417),363,12354.5,408.739,12549,409.503,52.9245,148.223,107.416,0.72469,6,0.929271,1.03736,1.00187,0.984501,6.00486,46.4441,10.3857,0.837068,468.615,0.843457,0.990077
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g56.jpg,(180,413),291,7467,318.511,7601.5,319.75,41,119.151,80,0.671416,5,0.924928,1.03979,1.00389,0.982306,5.87851,43.3162,8.75935,0.786774,409.062,0.888119,0.992088
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g57.jpg,(727,406),293,7771,317.075,7897.5,318.335,46.2709,108.706,93,0.855518,5,0.97132,1.01466,1.00397,0.983982,5.55491,38.6076,7.7506,0.786715,389.196,0.923436,0.988868
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g58.jpg,(447,405),452,18722,510.368,19006.5,506.484,64.0781,181.32,129.245,0.712798,6,0.903222,1.05221,0.992389,0.985031,6.00587,177.864,141.793,0.781639,51.4784,0.911982,0.977268
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g59.jpg,(299,385),404,14532.5,441.51,14753.5,442.106,58.0345,158.66,117.675,0.741683,6,0.936849,1.03315,1.00135,0.985021,5.74035,41.8559,8.90426,0.817391,360.648,0.959323,0.986951
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g60.jpg,(381,302),260,5953,285.511,6078.5,286.069,38,106.066,76,0.716535,5,0.917696,1.04388,1.00195,0.979353,5.5685,43.4732,12.4649,0.745093,318.737,0.859649,0.981241
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g61.jpg,(479,295),348,10702,389.582,10958.5,390.057,49.2037,142.144,106.475,0.749062,5,0.886088,1.06234,1.00122,0.976594,5.54257,60.1861,29.466,0.661019,278.705,0.833257,0.967468
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g62.jpg,(249,291),322,9169,351.88,9329,353.215,44.1814,128.725,89.902,0.698406,5,0.930556,1.03664,1.00379,0.982849,5.74392,42.6024,9.60973,0.83711,425.645,0.931602,0.990098
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g63.jpg,(1084,290),305,8992.5,346.712,9167.5,347.783,47.5079,119.708,98.2878,0.821063,5,0.940052,1.03139,1.00309,0.980911,5.5952,45.4399,14.1336,0.787117,300.109,0.894095,0.979289
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g64.jpg,(653,285),389,14394,432.541,14570,433.491,62.6817,149.723,127.304,0.850261,6,0.9668,1.01703,1.0022,0.98792,5.76823,39.217,5.94453,0.85717,469.2,0.935824,0.99035
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g65.jpg,(125,282),249,5289,274.383,5444.5,274.915,32.9848,101.98,67.2457,0.659398,5,0.882811,1.0643,1.00194,0.971439,5.61693,48.6892,17.1394,0.791342,337.182,0.904718,0.978443
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g66.jpg,(935,280),355,11651,394.022,11893.5,393.831,54.5894,135.03,113.736,0.842305,6,0.943046,1.02975,0.999517,0.979611,5.69385,51.2235,18.8036,0.794021,372.871,0.873114,0.978964
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g67.jpg,(797,277),274,6049.5,298.651,6276,298.196,32.249,115.732,67.5179,0.583397,5,0.852319,1.08318,0.998477,0.96391,5.12722,50.9778,24.6894,0.824336,337.256,0.917459,0.982672
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g68.jpg,(517,260),4456,1.26433e+006,4529.88,1.26927e+006,4444.06,564.087,1568.43,1127.77,0.719045,6,0.774278,1.13645,0.981053,0.99611,5.92512,553.491,518.384,0.673128,17.1378,0.852937,0.897721
